,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,pval_mean,pval_std,distance_mean,distance_std,pval_mean_log,distance_mean_log,region_name,source,is_enhancer
chr17:56596114-56596614,1.490478515625,0.545,2.0784912109375,0.183,2.430908203125,0.12,1.0491943359375,0.843,1.8494873046875,0.327,1.9139404296875,0.319,2.0072021484375,0.237,2.552734375,0.115,1.6446533203125,0.379,2.7984619140625,0.07,2.651611328125,0.078,1.638427734375,0.388,4.1268310546875,0.006,1.4722900390625,0.516,3.2442626953125,0.033,2.1075439453125,0.215,2.2103271484375,0.177,0.7496337890625,0.982,1.2791748046875,0.645,1.248779296875,0.678,0.34279999999999994,0.2784871914280326,2.0272216796875,0.7963289480383308,0.46494651789972896,0.30690124203339986,Element638,TimeDep,True
chr17:58219083-58219583,1.66064453125,0.111,1.137939453125,0.39,1.77685546875,0.107,2.5521240234375,0.007,1.5814208984375,0.14,1.0462646484375,0.473,1.3192138671875,0.264,1.9373779296875,0.068,1.97314453125,0.051,1.3294677734375,0.251,1.323974609375,0.28,1.6212158203125,0.105,1.7047119140625,0.104,2.244140625,0.028,1.9964599609375,0.058,1.1458740234375,0.39,1.54052734375,0.164,2.0623779296875,0.046,1.7177734375,0.113,2.1824951171875,0.041,0.15955000000000003,0.13572358713673596,1.6927001953125,0.40598293437355254,0.797075972362198,0.2285800443160657,Element639,TF,True
chr17:58324325-58324825,1.1602783203125,0.563,1.342041015625,0.427,1.56103515625,0.282,1.5025634765625,0.299,1.3006591796875,0.435,1.3929443359375,0.38,1.5714111328125,0.277,1.791015625,0.176,1.676025390625,0.216,1.9913330078125,0.127,1.7938232421875,0.16,1.56494140625,0.24,2.8148193359375,0.033,1.3619384765625,0.362,2.4488525390625,0.052,1.3814697265625,0.369,1.246337890625,0.474,1.7493896484375,0.193,1.1253662109375,0.599,1.3607177734375,0.388,0.30260000000000004,0.15668788956662255,1.60684814453125,0.4210365770264923,0.5191167244520913,0.20597483562561292,Element640,TF,True
chr17:58337944-58338444,1.881103515625,0.301,2.074951171875,0.222,1.5860595703125,0.492,1.2685546875,0.689,1.81787109375,0.326,2.0126953125,0.265,1.9141845703125,0.293,2.0533447265625,0.252,1.7587890625,0.335,3.270263671875,0.034,2.4044189453125,0.12,1.9395751953125,0.261,3.6026611328125,0.019,1.09130859375,0.829,2.474365234375,0.126,1.7994384765625,0.359,1.605712890625,0.474,1.833984375,0.314,1.3763427734375,0.625,1.1031494140625,0.847,0.3591500000000001,0.236455909988355,1.943438720703125,0.6316408340366344,0.44471203711218366,0.2885708512806067,Element641,TF,True
chr17:58338735-58339491,1.8486328125,0.147,1.868896484375,0.117,3.0240478515625,0.017,2.07861328125,0.078,2.27783203125,0.049,2.59326171875,0.034,1.946533203125,0.1,3.10205078125,0.01,1.8258056640625,0.132,2.7525634765625,0.017,2.14111328125,0.073,1.7720947265625,0.138,3.967529296875,0.002,2.1630859375,0.064,3.956298828125,0.002,2.28271484375,0.042,2.0751953125,0.074,1.8687744140625,0.113,2.469482421875,0.027,2.3270263671875,0.047,0.06415,0.04710601146127184,2.41707763671875,0.6523636732837076,1.192735644723893,0.38329060020369543,Element642,TF,True
chr17:58352161-58352661,18.6866455078125,0.0,16.343017578125,0.0,21.0086669921875,0.0,18.2398681640625,0.0,17.3017578125,0.0,19.0577392578125,0.0,17.243408203125,0.0,18.445068359375,0.0,16.320068359375,0.0,18.3814697265625,0.0,18.79296875,0.0,15.9361572265625,0.0,19.743408203125,0.0,18.3424072265625,0.0,19.6458740234375,0.0,17.8326416015625,0.0,19.8873291015625,0.0,14.8060302734375,0.0,19.79296875,0.0,19.4654541015625,0.0,0.0,0.0,18.2636474609375,1.559160802208432,5.0,1.2615875154747778,Element643,TF,True
chr17:58364249-58365050,1.6148681640625,0.24,1.1104736328125,0.586,2.6436767578125,0.029,1.746826171875,0.173,1.49169921875,0.293,1.9840087890625,0.093,1.39697265625,0.368,2.35791015625,0.052,1.3912353515625,0.353,1.7696533203125,0.179,1.7930908203125,0.159,1.0621337890625,0.629,2.5487060546875,0.04,1.644287109375,0.213,3.4091796875,0.013,1.8782958984375,0.132,1.8619384765625,0.154,1.0218505859375,0.686,1.6353759765625,0.231,1.8916015625,0.153,0.23879999999999998,0.19696368887904722,1.812689208984375,0.5786311760460019,0.621947491387355,0.25832334938322543,Element644,TF,True
chr17:58391436-58391936,1.8740234375,0.16,1.433837890625,0.331,2.8682861328125,0.028,1.797119140625,0.146,2.0498046875,0.112,2.4649658203125,0.047,1.6370849609375,0.242,2.4068603515625,0.059,1.259033203125,0.472,1.8546142578125,0.162,1.9984130859375,0.12,1.1409912109375,0.603,2.23095703125,0.068,1.91650390625,0.146,2.718994140625,0.04,2.1513671875,0.098,2.0426025390625,0.123,1.7418212890625,0.183,2.29638671875,0.073,2.890380859375,0.027,0.16199999999999998,0.1500940056308572,2.038702392578125,0.48529910077038946,0.7904581779833997,0.3093538325979224,Element645,TF,True
chr17:58417424-58417924,0.880615234375,0.747,0.8427734375,0.784,1.2447509765625,0.424,0.886474609375,0.758,0.792724609375,0.857,1.2750244140625,0.396,1.1510009765625,0.515,1.04248046875,0.603,0.721435546875,0.892,1.2269287109375,0.459,1.2642822265625,0.386,0.5794677734375,0.967,1.739013671875,0.153,0.638427734375,0.958,1.4769287109375,0.288,1.1309814453125,0.518,0.7957763671875,0.837,1.4161376953125,0.334,1.1192626953125,0.512,1.0906982421875,0.579,0.59835,0.23830879459001794,1.06575927734375,0.2993935486349929,0.22303744649371138,0.027659121832105144,Element646,TF,True
chr17:61323477-61323993,1.6478271484375,0.221,1.34619140625,0.379,2.01171875,0.098,3.21826171875,0.011,1.6107177734375,0.217,1.2115478515625,0.5,1.5313720703125,0.252,1.75830078125,0.185,2.5516357421875,0.031,1.273681640625,0.477,1.3011474609375,0.397,1.8912353515625,0.135,1.55859375,0.233,2.805908203125,0.015,1.852783203125,0.163,1.2772216796875,0.447,1.58447265625,0.241,2.950439453125,0.008,2.020263671875,0.087,2.3311767578125,0.05,0.20734999999999998,0.1606851367049695,1.886724853515625,0.5954632786906923,0.6832750158095007,0.27570857037554325,Element647,"TimeDep,TF",True
chr17:61352749-61353249,3.6640625,0.014,3.9542236328125,0.007,4.1075439453125,0.017,2.3885498046875,0.123,3.5819091796875,0.021,4.294921875,0.006,3.4725341796875,0.029,4.3974609375,0.007,2.5228271484375,0.087,5.412353515625,0.002,4.6373291015625,0.007,3.1103515625,0.037,6.601806640625,0.002,2.4427490234375,0.107,5.4461669921875,0.003,4.02490234375,0.008,3.7427978515625,0.012,2.1788330078125,0.185,3.5950927734375,0.029,2.665771484375,0.095,0.0399,0.0512690529410646,3.812109375,1.1402449752434018,1.3989182722159768,0.5811653526896664,Element648,TimeDep,True
chr17:61366789-61367296,6.9501953125,0.0,8.478271484375,0.0,7.465576171875,0.0,5.41455078125,0.0,7.612548828125,0.0,8.2435302734375,0.0,7.430908203125,0.0,8.1368408203125,0.0,6.414794921875,0.0,10.496337890625,0.0,8.448486328125,0.0,7.8033447265625,0.0,11.958251953125,0.0,5.8607177734375,0.0,9.4388427734375,0.0,7.40185546875,0.0,7.122314453125,0.0,6.535400390625,0.0,6.6353759765625,0.0,5.547119140625,0.001,5e-05,0.00022360679774997898,7.66976318359375,1.6079213454369212,4.221848749616356,0.8847819546078802,Element649,"TimeDep,TF",True
chr17:61368965-61369489,1.5830078125,0.267,1.828125,0.148,2.2132568359375,0.08,1.68212890625,0.189,1.65869140625,0.195,1.9627685546875,0.119,1.403076171875,0.331,2.237548828125,0.073,1.5333251953125,0.247,2.927001953125,0.013,2.2181396484375,0.077,1.7347412109375,0.162,3.8433837890625,0.001,1.625732421875,0.226,3.0865478515625,0.014,1.5157470703125,0.285,1.8468017578125,0.13,1.258544921875,0.42,1.9993896484375,0.077,1.5921630859375,0.246,0.16499999999999998,0.11320312437570375,1.987506103515625,0.6392963331077405,0.7824897357059728,0.2983084710236455,Element650,"TimeDep,TF",True
chr17:61394098-61394614,16.21728515625,0.0,18.404296875,0.0,16.091796875,0.0,13.473876953125,0.0,17.445556640625,0.0,17.2481689453125,0.0,17.201171875,0.0,17.47314453125,0.0,15.8055419921875,0.0,20.718994140625,0.0,18.5740966796875,0.0,17.38037109375,0.0,22.0721435546875,0.0,13.98486328125,0.0,18.2301025390625,0.0,16.6265869140625,0.0,16.5341796875,0.0,14.307373046875,0.0,14.9210205078125,0.0,13.271728515625,0.0,0.0,0.0,16.799114990234376,2.243120467130739,5.0,1.225286402857902,Element651,"TimeDep,TF",True
chr17:61397003-61397503,33.5882568359375,0.0,35.802001953125,0.0,33.7581787109375,0.0,28.7601318359375,0.0,34.26220703125,0.0,35.3377685546875,0.0,34.1923828125,0.0,34.6632080078125,0.0,31.7664794921875,0.0,38.4464111328125,0.0,37.21630859375,0.0,33.8154296875,0.0,40.448486328125,0.0,29.2672119140625,0.0,34.9970703125,0.0,34.4520263671875,0.0,34.578125,0.0,28.0277099609375,0.0,31.16259765625,0.0,29.449462890625,0.0,0.0,0.0,33.69957275390625,3.2162489423081566,5.0,1.527624394883293,Element652,TimeDep,True
chr17:61399491-61399991,6.908935546875,0.0,8.4278564453125,0.0,6.7828369140625,0.0,6.30126953125,0.0,8.040771484375,0.0,7.1973876953125,0.0,7.0228271484375,0.0,7.5968017578125,0.0,7.0882568359375,0.0,8.70361328125,0.0,8.189208984375,0.0,7.8507080078125,0.0,9.404052734375,0.0,6.0263671875,0.0,7.2086181640625,0.0,7.082275390625,0.0,7.236328125,0.0,6.2042236328125,0.0,6.4639892578125,0.0,5.861083984375,0.0,0.0,0.0,7.27987060546875,0.934542931455236,5.0,0.8621236601055752,Element653,TimeDep,True
chr17:61463316-61463816,1.276611328125,0.606,1.528076171875,0.412,1.737548828125,0.321,1.89794921875,0.229,1.68798828125,0.346,1.71337890625,0.319,1.0545654296875,0.804,1.60498046875,0.411,1.0618896484375,0.758,1.7398681640625,0.321,1.34521484375,0.559,1.576416015625,0.379,2.3946533203125,0.088,1.7237548828125,0.324,1.519775390625,0.456,1.0220947265625,0.839,1.3980712890625,0.533,1.856201171875,0.25,2.0419921875,0.195,2.093505859375,0.16,0.41550000000000004,0.2108864748227299,1.613726806640625,0.3582791576757384,0.38141851967154716,0.20783001340282464,Element654,TimeDep,True
chr17:61486451-61486966,7.536865234375,0.0,8.5709228515625,0.0,7.617431640625,0.0,5.1934814453125,0.002,7.7091064453125,0.0,8.91748046875,0.0,8.552978515625,0.0,8.19580078125,0.0,6.5137939453125,0.0,10.6968994140625,0.0,9.1763916015625,0.0,7.42822265625,0.0,12.148193359375,0.0,5.499267578125,0.001,8.9757080078125,0.0,8.2764892578125,0.0,7.8017578125,0.0,5.9940185546875,0.0,7.0802001953125,0.0,5.6234130859375,0.003,0.00030000000000000003,0.0008013147091860319,7.875421142578125,1.7131603557082875,3.5086383061657274,0.8962737872244761,Element655,"TimeDep,TF",True
chr17:61487042-61487542,1.46484375,0.329,1.6038818359375,0.216,2.1781005859375,0.087,1.873291015625,0.142,1.515625,0.29,1.3502197265625,0.394,1.441162109375,0.334,2.22802734375,0.074,1.741943359375,0.19,2.2449951171875,0.059,1.4300537109375,0.315,1.7613525390625,0.176,3.458740234375,0.007,1.8804931640625,0.166,2.8558349609375,0.024,1.4501953125,0.316,1.4256591796875,0.322,1.9541015625,0.116,1.746826171875,0.193,1.3153076171875,0.396,0.20730000000000004,0.12323623014784504,1.84603271484375,0.5423299462865466,0.683379748364064,0.26623939319597256,Element656,TF,True
chr17:61487565-61488065,2.588134765625,0.049,2.14794921875,0.084,4.7169189453125,0.002,2.9481201171875,0.019,3.1865234375,0.024,3.1214599609375,0.013,2.7462158203125,0.034,4.3529052734375,0.002,2.3193359375,0.059,3.15673828125,0.017,2.7899169921875,0.04,1.981689453125,0.154,4.4254150390625,0.004,2.94091796875,0.025,4.9959716796875,0.0,3.3009033203125,0.014,3.0556640625,0.018,2.1573486328125,0.099,3.1495361328125,0.02,3.06884765625,0.025,0.035100000000000006,0.038497983542545515,3.157525634765625,0.8495543358589566,1.4545691705346486,0.4993468851155911,Element657,TF,True
chr17:67717557-67718057,2.462890625,0.05,2.9691162109375,0.019,1.832763671875,0.195,2.55126953125,0.036,2.3919677734375,0.075,2.239990234375,0.087,2.1478271484375,0.105,2.3345947265625,0.056,2.6617431640625,0.037,3.52099609375,0.006,2.9122314453125,0.023,2.802490234375,0.026,4.117431640625,0.0,2.3404541015625,0.067,2.1920166015625,0.081,1.9315185546875,0.185,2.589599609375,0.036,2.382568359375,0.054,2.7327880859375,0.034,2.201904296875,0.077,0.062450000000000006,0.05166641482677728,2.56580810546875,0.5315216522883851,1.2043980201058202,0.4092241727511595,Element658,TF,True
chr17:67825186-67826125,3.7978515625,0.0,3.7813720703125,0.0,3.05615234375,0.002,5.484375,0.0,3.68701171875,0.0,3.308349609375,0.001,3.3802490234375,0.001,3.3409423828125,0.001,5.0245361328125,0.0,3.35595703125,0.001,3.6431884765625,0.0,4.146484375,0.0,2.90576171875,0.002,5.246337890625,0.0,3.1474609375,0.0,2.9501953125,0.004,3.9029541015625,0.001,5.6553955078125,0.0,4.63134765625,0.0,5.501220703125,0.0,0.0006500000000000001,0.001039989878493258,3.997357177734375,0.9225939366587737,3.1804560644581312,0.6017729557128499,Element659,TF,True
chr17:67858418-67858918,2.6790771484375,0.068,2.7320556640625,0.059,2.694091796875,0.065,2.895751953125,0.042,2.3040771484375,0.11,2.65185546875,0.073,2.4783935546875,0.076,2.6224365234375,0.079,3.0369873046875,0.031,3.3536376953125,0.017,2.5684814453125,0.076,2.986083984375,0.036,3.5155029296875,0.021,2.900146484375,0.038,3.421630859375,0.015,2.4366455078125,0.085,2.2198486328125,0.139,4.0194091796875,0.006,2.7052001953125,0.054,2.794189453125,0.063,0.057650000000000014,0.03322059443683755,2.850775146484375,0.4421712742117005,1.2391253619478109,0.4549629638923699,Element660,TF,True
chr17:67974171-67974671,1.0880126953125,0.646,0.6324462890625,0.974,1.3427734375,0.431,0.95068359375,0.756,0.594482421875,0.982,1.298095703125,0.485,0.8900146484375,0.813,1.168701171875,0.578,0.8453369140625,0.829,1.0968017578125,0.647,0.85498046875,0.845,0.493896484375,0.996,1.5911865234375,0.256,0.939208984375,0.763,1.8721923828125,0.159,0.967041015625,0.735,0.837890625,0.858,0.8709716796875,0.825,0.946044921875,0.754,1.349365234375,0.405,0.68685,0.2358706771003752,1.03150634765625,0.3348320615174771,0.1631317744739056,0.013471904867192845,Element661,TF,True
chr18:22069813-22070313,1.1578369140625,0.636,1.0885009765625,0.641,1.9512939453125,0.16,0.99169921875,0.712,1.35107421875,0.452,1.7347412109375,0.242,1.2767333984375,0.507,1.978515625,0.146,0.9423828125,0.77,2.1097412109375,0.096,1.6043701171875,0.238,0.9161376953125,0.785,3.0380859375,0.018,1.044921875,0.661,2.543701171875,0.042,1.4033203125,0.391,1.322509765625,0.435,0.895751953125,0.82,1.3944091796875,0.387,1.3426513671875,0.442,0.42905,0.25966668412044175,1.5044189453125,0.5732024317291208,0.3674819715754868,0.17736879390276078,Element662,TimeDep,True
chr18:22084402-22084902,1.569091796875,0.242,1.40771484375,0.322,2.2525634765625,0.056,1.7166748046875,0.161,1.5054931640625,0.3,1.70556640625,0.193,1.3939208984375,0.346,2.181396484375,0.068,1.51953125,0.249,2.2877197265625,0.07,1.6474609375,0.218,1.516357421875,0.264,3.1796875,0.012,1.6890869140625,0.195,3.156005859375,0.009,1.719970703125,0.198,1.4312744140625,0.33,1.904541015625,0.117,1.662109375,0.202,1.7056884765625,0.151,0.18514999999999998,0.10388570389463707,1.8575927734375,0.5188391020552049,0.7324528278892269,0.2689505128691317,Element663,TimeDep,True
chr18:22110463-22110963,1.767578125,0.246,1.88720703125,0.191,2.6640625,0.056,1.962158203125,0.171,1.8773193359375,0.224,2.1993408203125,0.12,1.7557373046875,0.265,2.9744873046875,0.019,1.2532958984375,0.564,2.6744384765625,0.053,2.2825927734375,0.103,1.5340576171875,0.373,4.1810302734375,0.004,1.7205810546875,0.259,3.2987060546875,0.018,1.72216796875,0.275,2.1121826171875,0.118,0.81884765625,0.908,2.2742919921875,0.106,1.681884765625,0.288,0.21805,0.21273617834996325,2.132098388671875,0.7510189950369854,0.661423992250192,0.3288072419452251,Element664,TimeDep,True
chr18:22168963-22169963,2.66455078125,0.004,1.8206787109375,0.056,3.30029296875,0.001,3.04052734375,0.003,2.2774658203125,0.012,2.0478515625,0.031,2.0052490234375,0.034,3.0308837890625,0.001,2.00830078125,0.031,2.221923828125,0.021,2.3197021484375,0.014,1.8128662109375,0.044,3.046875,0.003,3.0009765625,0.002,3.1688232421875,0.0,2.0225830078125,0.026,3.05322265625,0.006,1.88330078125,0.039,2.9495849609375,0.002,3.0516357421875,0.001,0.016550000000000002,0.017367468075929236,2.53636474609375,0.5339612994677064,1.7809396675511386,0.40421170813132784,Element665,TimeDep,True
chr18:22267630-22268130,1.4267578125,0.388,1.8466796875,0.148,2.1651611328125,0.074,1.32666015625,0.423,1.65283203125,0.215,2.0069580078125,0.108,1.6666259765625,0.215,2.044189453125,0.107,1.445068359375,0.318,2.911865234375,0.022,2.5714111328125,0.043,1.732666015625,0.179,4.2899169921875,0.002,1.436767578125,0.329,2.91650390625,0.03,1.6954345703125,0.218,1.9818115234375,0.119,1.219482421875,0.478,1.7532958984375,0.177,1.5181884765625,0.305,0.1949,0.13989879800845514,1.980413818359375,0.7252016199899012,0.7101658785149689,0.2967559479645811,Element666,TimeDep,True
chr18:47893949-47894449,1.4700927734375,0.353,1.3060302734375,0.441,2.76318359375,0.033,1.32177734375,0.391,1.628173828125,0.242,1.953857421875,0.112,1.5601806640625,0.27,2.2615966796875,0.08,1.16162109375,0.558,1.9801025390625,0.132,2.01611328125,0.106,1.1202392578125,0.581,3.0931396484375,0.01,1.60107421875,0.256,3.16015625,0.011,1.918212890625,0.119,1.8480224609375,0.154,0.9375,0.761,1.3922119140625,0.355,1.7491455078125,0.195,0.258,0.20731085228150556,1.81212158203125,0.618560370778801,0.588363461243531,0.2581873327634627,Element667,TF,True
chr18:47901724-47902224,5.5509033203125,0.001,5.935791015625,0.0,7.371337890625,0.0,3.9464111328125,0.004,5.7359619140625,0.0,6.77001953125,0.0,6.139892578125,0.0,6.96044921875,0.0,4.761962890625,0.001,7.7047119140625,0.0,7.2386474609375,0.0,5.0306396484375,0.001,9.4666748046875,0.0,4.1878662109375,0.005,8.7200927734375,0.0,6.719482421875,0.0,6.395263671875,0.0,3.391357421875,0.016,4.9256591796875,0.002,4.75439453125,0.002,0.0016,0.0036763826614872688,6.0853759765625,1.5821438176867069,2.7931741239681505,0.784287415680654,Element668,TF,True
chr18:47918013-47918513,4.5220947265625,0.001,4.97705078125,0.0,6.24609375,0.0,3.503662109375,0.006,5.2310791015625,0.0,5.262451171875,0.001,4.802978515625,0.001,6.4444580078125,0.0,4.039794921875,0.0,6.4508056640625,0.0,5.8240966796875,0.0,4.3590087890625,0.001,8.4532470703125,0.0,3.9453125,0.007,7.350341796875,0.0,5.4576416015625,0.0,5.4091796875,0.0,2.8997802734375,0.024,4.010498046875,0.003,3.959716796875,0.004,0.0024000000000000002,0.005500239229246976,5.157464599609375,1.3630396171755403,2.6179829574251317,0.7124362556956847,Element669,TF,True
chr18:47930632-47931132,1.85888671875,0.032,1.8040771484375,0.029,3.0994873046875,0.002,1.5235595703125,0.087,1.9918212890625,0.025,2.1895751953125,0.016,1.8411865234375,0.03,2.9197998046875,0.002,1.4215087890625,0.096,2.7774658203125,0.0,2.6424560546875,0.001,1.4794921875,0.074,4.085693359375,0.0,1.5552978515625,0.063,3.5997314453125,0.0,2.2696533203125,0.012,2.4249267578125,0.01,0.8271484375,0.554,1.67529296875,0.054,1.771484375,0.034,0.05605000000000001,0.12102304043358635,2.18792724609375,0.8016891352259247,1.2513469065757326,0.34003287655291614,Element670,TF,True
chr18:47967963-47968463,2.6142578125,0.074,3.4561767578125,0.011,3.4461669921875,0.024,1.957275390625,0.177,3.1375732421875,0.027,3.303955078125,0.029,3.0753173828125,0.022,3.6417236328125,0.014,2.388427734375,0.093,4.859619140625,0.003,4.1634521484375,0.006,3.035400390625,0.026,6.3175048828125,0.001,2.0008544921875,0.161,4.42333984375,0.003,3.039306640625,0.028,3.22021484375,0.016,1.8656005859375,0.244,2.5732421875,0.061,1.9453125,0.209,0.06145000000000002,0.07522210971166446,3.223236083984375,1.1008092298061998,1.2114074440796405,0.5082921163149144,Element671,TF,True
chr18:48002835-48003335,7.9783935546875,0.0,9.0394287109375,0.0,9.5064697265625,0.0,6.0191650390625,0.001,8.7706298828125,0.0,9.8551025390625,0.0,8.3370361328125,0.0,9.5286865234375,0.0,6.91650390625,0.0,11.06396484375,0.0,10.4022216796875,0.0,7.919921875,0.0,12.5887451171875,0.0,5.8671875,0.001,10.5816650390625,0.0,9.2882080078125,0.0,8.9298095703125,0.0,5.3948974609375,0.002,7.5576171875,0.0,6.7847900390625,0.0,0.0002,0.0005231483637805969,8.616522216796875,1.8602519603382122,3.677780705266081,0.9353320121330606,Element672,TF,True
chr18:50967957-50968457,2.4691162109375,0.041,3.0086669921875,0.013,3.4613037109375,0.005,1.78271484375,0.184,2.5670166015625,0.029,3.070556640625,0.02,2.7061767578125,0.022,3.4530029296875,0.007,2.2174072265625,0.06,3.684814453125,0.002,3.6839599609375,0.004,2.3251953125,0.062,5.247802734375,0.0,1.8983154296875,0.123,4.491943359375,0.002,3.189453125,0.019,3.0625,0.011,0.9066162109375,0.783,2.135498046875,0.077,1.8577880859375,0.152,0.0808,0.1735288842936833,2.860992431640625,1.001180974046049,1.0925348932341439,0.45651670894085816,Element673,TF,True
chr18:50992353-50992853,3.223388671875,0.033,3.55419921875,0.021,4.1678466796875,0.011,2.18359375,0.187,3.58935546875,0.02,4.0443115234375,0.012,3.1702880859375,0.046,4.252197265625,0.004,2.42138671875,0.087,5.1209716796875,0.002,4.1617431640625,0.006,3.1474609375,0.03,6.5491943359375,0.0,2.5787353515625,0.08,5.0606689453125,0.001,3.3287353515625,0.025,3.652587890625,0.013,1.924560546875,0.246,3.152587890625,0.032,2.708984375,0.077,0.046650000000000004,0.06445910576318503,3.599639892578125,1.1063161903017964,1.331055265542266,0.5562590561870926,Element674,TF,True
chr18:51029478-51029978,6.3548583984375,0.002,6.95068359375,0.0,6.7415771484375,0.0,4.408935546875,0.009,6.5302734375,0.0,7.7716064453125,0.0,6.2529296875,0.0,7.299560546875,0.0,4.9322509765625,0.002,9.07861328125,0.0,7.73046875,0.0,6.0311279296875,0.0,10.329833984375,0.0,4.5848388671875,0.002,8.543212890625,0.0,6.573486328125,0.001,6.6856689453125,0.0,4.056884765625,0.012,6.0577392578125,0.001,5.4615478515625,0.001,0.0015,0.003203616377585937,6.618804931640625,1.5782213469266975,2.8210230527068307,0.8207795818193651,Element675,TF,True
chr18:51030099-51030599,4.3897705078125,0.0,4.321533203125,0.0,5.385986328125,0.0,3.971923828125,0.0,4.3226318359375,0.0,4.387939453125,0.0,3.985595703125,0.002,4.982666015625,0.0,3.7969970703125,0.0,4.8980712890625,0.0,4.4696044921875,0.001,3.863525390625,0.0,6.4849853515625,0.0,4.326416015625,0.0,5.8525390625,0.0,4.298828125,0.0,5.003173828125,0.0,2.6180419921875,0.014,4.67529296875,0.0,4.643310546875,0.0,0.0008500000000000001,0.003133435981894568,4.533941650390625,0.8069251282738106,3.065501548756432,0.656475926669097,Element676,TF,True
chr18:51030670-51031170,20.05712890625,0.0,20.2598876953125,0.0,21.5968017578125,0.0,24.2857666015625,0.0,20.9986572265625,0.0,17.5042724609375,0.0,18.478759765625,0.0,21.729248046875,0.0,21.9803466796875,0.0,19.1468505859375,0.0,18.05078125,0.0,21.8748779296875,0.0,21.25048828125,0.0,24.36376953125,0.0,21.381591796875,0.0,18.171875,0.0,21.052978515625,0.0,21.5062255859375,0.0,22.1475830078125,0.0,22.04296875,0.0,0.0,0.0,20.89404296875,1.8850823857397143,5.0,1.3200224835002439,Element677,TF,True
chr18:51039139-51039639,2.8392333984375,0.022,3.224853515625,0.011,4.30224609375,0.001,2.418212890625,0.051,3.594970703125,0.008,3.5406494140625,0.003,2.7076416015625,0.029,4.474365234375,0.001,2.623779296875,0.039,4.427734375,0.001,3.5545654296875,0.004,2.9478759765625,0.018,5.7835693359375,0.001,2.4852294921875,0.058,5.15283203125,0.0,3.5321044921875,0.011,2.9805908203125,0.03,2.14501953125,0.079,2.6558837890625,0.035,2.4337158203125,0.043,0.02225,0.022692161874231283,3.391253662109375,0.9879913938839084,1.6524748400013105,0.530360275751012,Element678,TF,True
chr18:58545555-58546055,1.8642578125,0.236,2.002197265625,0.175,2.824462890625,0.04,1.0745849609375,0.758,2.197265625,0.131,2.976318359375,0.046,2.3846435546875,0.107,2.5738525390625,0.072,1.128662109375,0.697,3.247802734375,0.024,2.904296875,0.036,1.361328125,0.517,4.0775146484375,0.011,1.227294921875,0.623,3.0853271484375,0.031,2.259033203125,0.124,2.4197998046875,0.11,1.3746337890625,0.526,2.0797119140625,0.163,2.1949462890625,0.126,0.22765000000000005,0.2463077396907757,2.262896728515625,0.7931741684046469,0.6427132684858796,0.3546647345737307,Element679,TimeDep,True
chr18:58556293-58556793,5.446533203125,0.005,5.7415771484375,0.005,5.0596923828125,0.003,3.7900390625,0.046,5.6512451171875,0.004,6.779052734375,0.0,5.5390625,0.002,5.7059326171875,0.005,4.11083984375,0.02,7.8389892578125,0.0,6.768310546875,0.001,5.093505859375,0.015,8.4417724609375,0.0,3.5545654296875,0.047,6.0142822265625,0.0,5.2957763671875,0.006,5.4412841796875,0.005,3.76708984375,0.045,5.4498291015625,0.004,4.8214111328125,0.012,0.011250000000000001,0.01584422524720633,5.51553955078125,1.2621171915476888,1.9484616094846725,0.7415880031706621,Element680,TimeDep,True
chr18:58578204-58578704,3.9478759765625,0.011,4.15576171875,0.003,4.4541015625,0.006,3.22900390625,0.027,4.2703857421875,0.005,4.3162841796875,0.004,3.4931640625,0.014,4.7208251953125,0.004,3.296875,0.027,5.129638671875,0.002,4.9412841796875,0.0,3.66357421875,0.007,6.26416015625,0.0,3.275634765625,0.009,5.044921875,0.002,4.0445556640625,0.011,4.3939208984375,0.002,2.1768798828125,0.147,3.6041259765625,0.009,3.2481689453125,0.017,0.015350000000000003,0.031959308009108275,4.08355712890625,0.89892181550034,1.8136087843045068,0.6110386357406568,Element681,TimeDep,True
chr18:58580932-58581432,1.9691162109375,0.256,1.99169921875,0.237,3.041748046875,0.062,1.3155517578125,0.662,2.087158203125,0.249,2.650634765625,0.102,2.272705078125,0.15,2.69287109375,0.092,1.600830078125,0.456,3.378662109375,0.03,2.7442626953125,0.079,1.659912109375,0.376,4.4112548828125,0.005,1.410888671875,0.574,3.6004638671875,0.027,2.3759765625,0.17,2.1922607421875,0.18,1.355712890625,0.619,1.8358154296875,0.348,1.6727294921875,0.425,0.25495,0.20520143505192262,2.3130126953125,0.8195108666195484,0.5935279495343238,0.3641780164666998,Element682,TimeDep,True
