,guide_chr,guide_start,guide_end,protospacer_target,transcript_target,closest_gene,closest_dist
8733,chr12,114407816,114407835,TBX5_+_114845617.23-P1-1,TBX5:P1,TBX5,187
8734,chr12,114407720,114407739,TBX5_+_114845617.23-P1-2,TBX5:P1,TBX5,283
8735,chr12,114407961,114407980,TBX5_-_114845786.23-P1-1,TBX5:P1,TBX5,42
8736,chr12,114407957,114407976,TBX5_-_114845786.23-P1-2,TBX5:P1,TBX5,46
8737,chr16,30091879,30091898,TBX6_+_30103196.23-P1P2-1,TBX6:P1P2,TBX6,36
8738,chr16,30091894,30091913,TBX6_+_30103196.23-P1P2-2,TBX6:P1P2,TBX6,21
8739,chr16,30091883,30091902,TBX6_-_30103224.23-P1P2-1,TBX6:P1P2,TBX6,32
8740,chr16,30091911,30091930,TBX6_-_30103224.23-P1P2-2,TBX6:P1P2,TBX6,4
8741,chr16,30091907,30091926,TBX6_-_30103248.23-P1P2-1,TBX6:P1P2,TBX6,8
8742,chr16,30091852,30091871,TBX6_-_30103248.23-P1P2-2,TBX6:P1P2,TBX6,63
8743,chr8,73972112,73972131,TCEB1_+_74884343.23-P1P2-1,TCEB1:P1P2,ELOC,70
8744,chr8,73972068,73972087,TCEB1_+_74884343.23-P1P2-2,TCEB1:P1P2,ELOC,114
8745,chr8,73972169,73972188,TCEB1_+_74884400.23-P1P2-1,TCEB1:P1P2,ELOC,13
8746,chr8,73971958,73971977,TCEB1_+_74884400.23-P1P2-2,TCEB1:P1P2,ELOC,59
8747,chr8,73971680,73971699,TCEB1_-_74883935.23-P1P2-1,TCEB1:P1P2,ELOC,219
8748,chr8,73971753,73971772,TCEB1_-_74883935.23-P1P2-2,TCEB1:P1P2,ELOC,146
8749,chr16,2777232,2777251,TCEB2_+_2827229.23-P1P2-1,TCEB2:P1P2,ELOB,39
8750,chr16,2777577,2777596,TCEB2_+_2827229.23-P1P2-2,TCEB2:P1P2,ELOB,306
8751,chr16,2777239,2777258,TCEB2_+_2827236.23-P1P2-1,TCEB2:P1P2,ELOB,32
8752,chr16,2777254,2777273,TCEB2_+_2827236.23-P1P2-2,TCEB2:P1P2,ELOB,17
8753,chr16,2777223,2777242,TCEB2_-_2827244.23-P1P2-1,TCEB2:P1P2,ELOB,48
8754,chr16,2777580,2777599,TCEB2_-_2827244.23-P1P2-2,TCEB2:P1P2,ELOB,309
8755,chr1,23743851,23743870,TCEB3_+_24070337.23-P1P2-1,TCEB3:P1P2,ELOA,389
8756,chr1,23743513,23743532,TCEB3_+_24070337.23-P1P2-2,TCEB3:P1P2,ELOA,51
8757,chr1,23743465,23743484,TCEB3_-_24069975.23-P1P2-1,TCEB3:P1P2,ELOA,3
8758,chr1,23743462,23743481,TCEB3_-_24069975.23-P1P2-2,TCEB3:P1P2,ELOA,0
8759,chr1,23743498,23743517,TCEB3_-_24070008.23-P1P2-1,TCEB3:P1P2,ELOA,36
8760,chr1,23743617,23743636,TCEB3_-_24070008.23-P1P2-2,TCEB3:P1P2,ELOA,155
8761,chr5,146447332,146447351,TCERG1_-_145826915.23-P1P2-1,TCERG1:P1P2,TCERG1,8
8762,chr5,146447379,146447398,TCERG1_-_145826915.23-P1P2-2,TCERG1:P1P2,TCERG1,55
8763,chr5,146447335,146447354,TCERG1_-_145826918.23-P1P2-1,TCERG1:P1P2,TCERG1,11
8764,chr5,146447393,146447412,TCERG1_-_145826918.23-P1P2-2,TCERG1:P1P2,TCERG1,69
8765,chr5,146447519,146447538,TCERG1_-_145827102.23-P1P2-1,TCERG1:P1P2,TCERG1,195
8766,chr5,146447345,146447364,TCERG1_-_145827102.23-P1P2-2,TCERG1:P1P2,TCERG1,21
8767,chr15,56918702,56918721,TCF12_+_57210896.23-P1-1,TCF12:P1,TCF12,67
8768,chr15,56918698,56918717,TCF12_+_57210896.23-P1-2,TCF12:P1,TCF12,63
8769,chr15,56918970,56918989,TCF12_+_57211164.23-P1-1,TCF12:P1,TCF12,108
8770,chr15,56918689,56918708,TCF12_+_57211164.23-P1-2,TCF12:P1,TCF12,54
8771,chr15,57219540,57219559,TCF12_+_57511734.23-P2-1,TCF12:P2,TCF12,119
8772,chr15,57219532,57219551,TCF12_+_57511734.23-P2-2,TCF12:P2,TCF12,111
8773,chr15,56918718,56918737,TCF12_-_57210936.23-P1-1,TCF12:P1,TCF12,83
8774,chr15,56918695,56918714,TCF12_-_57210936.23-P1-2,TCF12:P1,TCF12,60
8775,chr15,57219458,57219477,TCF12_-_57511676.23-P2-1,TCF12:P2,TCF12,37
8776,chr15,57219545,57219564,TCF12_-_57511676.23-P2-2,TCF12:P2,TCF12,124
8777,chr15,57219656,57219675,TCF12_-_57511874.23-P2-1,TCF12:P2,TCF12,235
8778,chr15,57219562,57219581,TCF12_-_57511874.23-P2-2,TCF12:P2,TCF12,141
8779,chr20,610267,610286,TCF15_+_590907.23-P1P2-1,TCF15:P1P2,TCF15,33
8780,chr20,610250,610269,TCF15_+_590907.23-P1P2-2,TCF15:P1P2,TCF15,50
8781,chr20,610219,610238,TCF15_-_590883.23-P1P2-1,TCF15:P1P2,TCF15,81
8782,chr20,610256,610275,TCF15_-_590883.23-P1P2-2,TCF15:P1P2,TCF15,44
8783,chr20,610259,610278,TCF15_-_590923.23-P1P2-1,TCF15:P1P2,TCF15,41
8784,chr20,610019,610038,TCF15_-_590923.23-P1P2-2,TCF15:P1P2,TCF15,281
8785,chr6,31158587,31158606,TCF19_+_31126360.23-P1-1,TCF19:P1,TCF19,7
8786,chr6,31158537,31158556,TCF19_+_31126360.23-P1-2,TCF19:P1,TCF19,43
8787,chr6,31159625,31159644,TCF19_+_31127398.23-P2-1,TCF19:P2,TCF19,1045
8788,chr6,31159561,31159580,TCF19_+_31127398.23-P2-2,TCF19:P2,TCF19,981
8789,chr6,31158556,31158575,TCF19_-_31126353.23-P1-1,TCF19:P1,TCF19,24
8790,chr6,31158813,31158832,TCF19_-_31126353.23-P1-2,TCF19:P1,TCF19,233
8791,chr6,31158674,31158693,TCF19_-_31126471.23-P1-1,TCF19:P1,TCF19,94
8792,chr6,31158546,31158565,TCF19_-_31126471.23-P1-2,TCF19:P1,TCF19,34
8793,chr6,31159549,31159568,TCF19_-_31127346.23-P2-1,TCF19:P2,TCF19,969
8794,chr6,31159557,31159576,TCF19_-_31127346.23-P2-2,TCF19:P2,TCF19,977
8795,chr6,31159612,31159631,TCF19_-_31127409.23-P2-1,TCF19:P2,TCF19,1032
8796,chr6,31159736,31159755,TCF19_-_31127409.23-P2-2,TCF19:P2,TCF19,1156
8797,chr22,42214623,42214642,TCF20_+_42610625.23-P1P2-1,TCF20:P1P2,TCF20,55001
8798,chr22,42214708,42214727,TCF20_+_42610625.23-P1P2-2,TCF20:P1P2,TCF20,54916
8799,chr22,42214716,42214735,TCF20_-_42610742.23-P1P2-1,TCF20:P1P2,TCF20,54908
8800,chr22,42214373,42214392,TCF20_-_42610742.23-P1P2-2,TCF20:P1P2,TCF20,55251
8801,chr22,42214721,42214740,TCF20_-_42610747.23-P1P2-1,TCF20:P1P2,TCF20,54903
8802,chr22,42214801,42214820,TCF20_-_42610747.23-P1P2-2,TCF20:P1P2,TCF20,54823
8803,chr6,133889128,133889147,TCF21_+_134210262.23-P1P2-1,TCF21:P1P2,TCF21,24
8804,chr6,133889116,133889135,TCF21_+_134210262.23-P1P2-2,TCF21:P1P2,TCF21,12
8805,chr6,133889193,133889212,TCF21_+_134210327.23-P1P2-1,TCF21:P1P2,TCF21,89
8806,chr6,133889177,133889196,TCF21_+_134210327.23-P1P2-2,TCF21:P1P2,TCF21,73
8807,chr6,133889150,133889169,TCF21_-_134210308.23-P1P2-1,TCF21:P1P2,TCF21,46
8808,chr6,133889105,133889124,TCF21_-_134210308.23-P1P2-2,TCF21:P1P2,TCF21,1
8809,chr2,27149087,27149106,TCF23_+_27371951.23-P1P2-1,TCF23:P1P2,TCF23,92
8810,chr2,27148989,27149008,TCF23_+_27371951.23-P1P2-2,TCF23:P1P2,TCF23,6
8811,chr2,27149248,27149267,TCF23_-_27372136.23-P1P2-1,TCF23:P1P2,TCF23,253
8812,chr2,27149084,27149103,TCF23_-_27372136.23-P1P2-2,TCF23:P1P2,TCF23,89
8813,chr2,27149373,27149392,TCF23_-_27372261.23-P1P2-1,TCF23:P1P2,TCF23,378
8814,chr2,27149425,27149444,TCF23_-_27372261.23-P1P2-2,TCF23:P1P2,TCF23,430
8815,chr8,66962512,66962531,TCF24_-_67874767.23-P1P2-1,TCF24:P1P2,TCF24,70
8816,chr8,66962524,66962543,TCF24_-_67874767.23-P1P2-2,TCF24:P1P2,TCF24,58
8817,chr8,66962521,66962540,TCF24_-_67874776.23-P1P2-1,TCF24:P1P2,TCF24,61
8818,chr8,66962546,66962565,TCF24_-_67874776.23-P1P2-2,TCF24:P1P2,TCF24,36
8819,chr8,66962558,66962577,TCF24_-_67874813.23-P1P2-1,TCF24:P1P2,TCF24,24
8820,chr8,66962516,66962535,TCF24_-_67874813.23-P1P2-2,TCF24:P1P2,TCF24,66
8821,chr16,89873638,89873657,TCF25_+_89940042.23-P1P2-1,TCF25:P1P2,TCF25,55
8822,chr16,89873634,89873653,TCF25_+_89940042.23-P1P2-2,TCF25:P1P2,TCF25,51
8823,chr16,89873646,89873665,TCF25_+_89940050.23-P1P2-1,TCF25:P1P2,TCF25,63
8824,chr16,89873615,89873634,TCF25_+_89940050.23-P1P2-2,TCF25:P1P2,TCF25,32
8825,chr16,89873670,89873689,TCF25_-_89940098.23-P1P2-1,TCF25:P1P2,TCF25,87
8826,chr16,89873668,89873687,TCF25_-_89940098.23-P1P2-2,TCF25:P1P2,TCF25,85
8827,chr19,1652556,1652575,TCF3_+_1652551.23-P1P2-1,TCF3:P1P2,TCF3,50
8828,chr19,1652545,1652564,TCF3_+_1652551.23-P1P2-2,TCF3:P1P2,TCF3,61
8829,chr19,1652561,1652580,TCF3_+_1652556.23-P1P2-1,TCF3:P1P2,TCF3,45
8830,chr19,1652582,1652601,TCF3_+_1652556.23-P1P2-2,TCF3:P1P2,TCF3,24
8831,chr19,1652588,1652607,TCF3_+_1652583.23-P1P2-1,TCF3:P1P2,TCF3,18
8832,chr19,1652579,1652598,TCF3_+_1652583.23-P1P2-2,TCF3:P1P2,TCF3,27
8833,chr18,55588030,55588049,TCF4_+_53255257.23-P1P2-1,TCF4:P1P2,TCF4,153
8834,chr18,55588214,55588233,TCF4_+_53255257.23-P1P2-2,TCF4:P1P2,TCF4,31
8835,chr18,55588178,55588197,TCF4_+_53255405.23-P1P2-1,TCF4:P1P2,TCF4,5
8836,chr18,55588175,55588194,TCF4_+_53255405.23-P1P2-2,TCF4:P1P2,TCF4,8
8837,chr18,55588228,55588247,TCF4_+_53255455.23-P1P2-1,TCF4:P1P2,TCF4,45
8838,chr18,55588181,55588200,TCF4_+_53255455.23-P1P2-2,TCF4:P1P2,TCF4,2
8839,chr2,85133469,85133488,TCF7L1_+_85360588.23-P1P2-1,TCF7L1:P1P2,TCF7L1,86
8840,chr2,85133856,85133875,TCF7L1_+_85360588.23-P1P2-2,TCF7L1:P1P2,TCF7L1,473
8841,chr2,85133442,85133461,TCF7L1_-_85360585.23-P1P2-1,TCF7L1:P1P2,TCF7L1,59
8842,chr2,85133581,85133600,TCF7L1_-_85360585.23-P1P2-2,TCF7L1:P1P2,TCF7L1,198
8843,chr2,85133584,85133603,TCF7L1_-_85360727.23-P1P2-1,TCF7L1:P1P2,TCF7L1,201
8844,chr2,85133800,85133819,TCF7L1_-_85360727.23-P1P2-2,TCF7L1:P1P2,TCF7L1,417
8845,chr10,112950266,112950285,TCF7L2_+_114710021.23-P1P2-1,TCF7L2:P1P2,TCF7L2,28
8846,chr10,112950282,112950301,TCF7L2_+_114710021.23-P1P2-2,TCF7L2:P1P2,TCF7L2,44
8847,chr10,112950277,112950296,TCF7L2_+_114710032.23-P1P2-1,TCF7L2:P1P2,TCF7L2,39
8848,chr10,112950246,112950265,TCF7L2_+_114710032.23-P1P2-2,TCF7L2:P1P2,TCF7L2,8
8849,chr10,112950297,112950316,TCF7L2_+_114710052.23-P1P2-1,TCF7L2:P1P2,TCF7L2,59
8850,chr10,112950261,112950280,TCF7L2_+_114710052.23-P1P2-2,TCF7L2:P1P2,TCF7L2,23
8851,chr5,134114699,134114718,TCF7_+_133450386.23-P1P2-1,TCF7:P1P2,TCF7,27
8852,chr5,134114769,134114788,TCF7_+_133450386.23-P1P2-2,TCF7:P1P2,TCF7,97
8853,chr5,134115497,134115516,TCF7_-_133451208.23-P1P2-1,TCF7:P1P2,TCF7,107
8854,chr5,134114704,134114723,TCF7_-_133451208.23-P1P2-2,TCF7:P1P2,TCF7,32
8855,chr5,134115500,134115519,TCF7_-_133451211.23-P1P2-1,TCF7:P1P2,TCF7,104
8856,chr5,134114765,134114784,TCF7_-_133451211.23-P1P2-2,TCF7:P1P2,TCF7,93
8857,chr20,62861817,62861836,TCFL5_+_61493165.23-P1P2-1,TCFL5:P1P2,TCFL5,4
8858,chr20,62861763,62861782,TCFL5_+_61493165.23-P1P2-2,TCFL5:P1P2,TCFL5,50
8859,chr20,62861675,62861694,TCFL5_-_61493047.23-P1P2-1,TCFL5:P1P2,TCFL5,138
8860,chr20,62861520,62861539,TCFL5_-_61493047.23-P1P2-2,TCFL5:P1P2,TCFL5,293
8861,chr20,62861770,62861789,TCFL5_-_61493142.23-P1P2-1,TCFL5:P1P2,TCFL5,43
8862,chr20,62861756,62861775,TCFL5_-_61493142.23-P1P2-2,TCFL5:P1P2,TCFL5,57
8863,chr11,12674415,12674434,TEAD1_+_12695958.23-P1P2-1,TEAD1:P1P2,TEAD1,3
8864,chr11,12674787,12674806,TEAD1_+_12695958.23-P1P2-2,TEAD1:P1P2,TEAD1,375
8865,chr11,12674462,12674481,TEAD1_+_12696005.23-P1P2-1,TEAD1:P1P2,TEAD1,50
8866,chr11,12674427,12674446,TEAD1_+_12696005.23-P1P2-2,TEAD1:P1P2,TEAD1,15
8867,chr11,12674636,12674655,TEAD1_+_12696179.23-P1P2-1,TEAD1:P1P2,TEAD1,224
8868,chr11,12674689,12674708,TEAD1_+_12696179.23-P1P2-2,TEAD1:P1P2,TEAD1,277
8869,chr19,49362190,49362209,TEAD2_+_49865443.23-P1P2-1,TEAD2:P1P2,TEAD2,122
8870,chr19,49362361,49362380,TEAD2_+_49865443.23-P1P2-2,TEAD2:P1P2,TEAD2,46
8871,chr19,49362367,49362386,TEAD2_+_49865620.23-P1P2-1,TEAD2:P1P2,TEAD2,40
8872,chr19,49362165,49362184,TEAD2_+_49865620.23-P1P2-2,TEAD2:P1P2,TEAD2,147
8873,chr19,49362340,49362359,TEAD2_-_49865617.23-P1P2-1,TEAD2:P1P2,TEAD2,28
8874,chr19,49361570,49361589,TEAD2_-_49865617.23-P1P2-2,TEAD2:P1P2,TEAD2,62
8875,chr6,35496896,35496915,TEAD3_-_35464693.23-P1P2-1,TEAD3:P1P2,TEAD3,174
8876,chr6,35496860,35496879,TEAD3_-_35464693.23-P1P2-2,TEAD3:P1P2,TEAD3,210
8877,chr6,35497000,35497019,TEAD3_-_35464797.23-P1P2-1,TEAD3:P1P2,TEAD3,70
8878,chr6,35496944,35496963,TEAD3_-_35464797.23-P1P2-2,TEAD3:P1P2,TEAD3,126
8879,chr6,35497004,35497023,TEAD3_-_35464801.23-P1P2-1,TEAD3:P1P2,TEAD3,66
8880,chr6,35497020,35497039,TEAD3_-_35464801.23-P1P2-2,TEAD3:P1P2,TEAD3,50
8881,chr12,2960027,2960046,TEAD4_+_3069189.23-P1P2-1,TEAD4:P1P2,TEAD4,101
8882,chr12,2959419,2959438,TEAD4_+_3069189.23-P1P2-2,TEAD4:P1P2,TEAD4,31
8883,chr12,2959421,2959440,TEAD4_-_3068607.23-P1P2-1,TEAD4:P1P2,TEAD4,33
8884,chr12,2959468,2959487,TEAD4_-_3068607.23-P1P2-2,TEAD4:P1P2,TEAD4,80
8885,chr12,2959424,2959443,TEAD4_-_3068610.23-P1P2-1,TEAD4:P1P2,TEAD4,36
8886,chr12,2959413,2959432,TEAD4_-_3068610.23-P1P2-2,TEAD4:P1P2,TEAD4,25
8887,chr22,41367463,41367482,TEF_+_41763463.23-P2-1,TEF:P2,TEF,17
8888,chr22,41367534,41367553,TEF_+_41763463.23-P2-2,TEF:P2,TEF,88
8889,chr22,41367473,41367492,TEF_+_41763473.23-P2-1,TEF:P2,TEF,27
8890,chr22,41367545,41367564,TEF_+_41763473.23-P2-2,TEF:P2,TEF,99
8891,chr22,41381992,41382011,TEF_+_41777992.23-P1-1,TEF:P1,TEF,59
8892,chr22,41381961,41381980,TEF_+_41777992.23-P1-2,TEF:P1,TEF,28
8893,chr22,41367696,41367715,TEF_-_41763720.23-P2-1,TEF:P2,TEF,250
8894,chr22,41367725,41367744,TEF_-_41763720.23-P2-2,TEF:P2,TEF,279
8895,chr22,41381940,41381959,TEF_-_41777964.23-P1-1,TEF:P1,TEF,7
8896,chr22,41381955,41381974,TEF_-_41777964.23-P1-2,TEF:P1,TEF,22
8897,chr22,41381980,41381999,TEF_-_41778004.23-P1-1,TEF:P1,TEF,47
8898,chr22,41381930,41381949,TEF_-_41778004.23-P1-2,TEF:P1,TEF,3
8899,chr8,73008841,73008860,TERF1_-_73921096.23-P1P2-1,TERF1:P1P2,TERF1,14
8900,chr8,73008922,73008941,TERF1_-_73921096.23-P1P2-2,TERF1:P1P2,TERF1,67
8901,chr8,73008872,73008891,TERF1_-_73921127.23-P1P2-1,TERF1:P1P2,TERF1,17
8902,chr8,73008890,73008909,TERF1_-_73921127.23-P1P2-2,TERF1:P1P2,TERF1,35
8903,chr8,73008875,73008894,TERF1_-_73921130.23-P1P2-1,TERF1:P1P2,TERF1,20
8904,chr8,73008839,73008858,TERF1_-_73921130.23-P1P2-2,TERF1:P1P2,TERF1,16
8905,chr16,69385820,69385839,TERF2_+_69419719.23-P1P2-1,TERF2:P1P2,TERF2,178
8906,chr16,69385911,69385930,TERF2_+_69419719.23-P1P2-2,TERF2:P1P2,TERF2,87
8907,chr16,69385845,69385864,TERF2_+_69419744.23-P1P2-1,TERF2:P1P2,TERF2,153
8908,chr16,69385778,69385797,TERF2_+_69419744.23-P1P2-2,TERF2:P1P2,TERF2,220
8909,chr16,69385953,69385972,TERF2_+_69419852.23-P1P2-1,TERF2:P1P2,TERF2,45
8910,chr16,69385809,69385828,TERF2_+_69419852.23-P1P2-2,TERF2:P1P2,TERF2,189
8911,chr10,68560376,68560395,TET1_+_70320129.23-P1P2-1,TET1:P1P2,TET1,48
8912,chr10,68560326,68560345,TET1_+_70320129.23-P1P2-2,TET1:P1P2,TET1,2
8913,chr10,68560336,68560355,TET1_-_70320113.23-P1P2-1,TET1:P1P2,TET1,8
8914,chr10,68560447,68560466,TET1_-_70320113.23-P1P2-2,TET1:P1P2,TET1,119
8915,chr10,68560869,68560888,TET1_-_70320646.23-P1P2-1,TET1:P1P2,TET1,541
8916,chr10,68560826,68560845,TET1_-_70320646.23-P1P2-2,TET1:P1P2,TET1,498
8917,chr4,105147244,105147263,TET2_+_106068397.23-P1P2-1,TET2:P1P2,TET2,377
8918,chr4,105146935,105146954,TET2_+_106068397.23-P1P2-2,TET2:P1P2,TET2,68
8919,chr4,105147252,105147271,TET2_+_106068405.23-P1P2-1,TET2:P1P2,TET2,385
8920,chr4,105147117,105147136,TET2_+_106068405.23-P1P2-2,TET2:P1P2,TET2,250
8921,chr4,105146928,105146947,TET2_-_106068105.23-P1P2-1,TET2:P1P2,TET2,61
8922,chr4,105146959,105146978,TET2_-_106068105.23-P1P2-2,TET2:P1P2,TET2,92
8923,chr2,74046510,74046529,TET3_+_74273633.23-ENST00000409262.3-1,TET3:ENST00000409262.3,TET3,43827
8924,chr2,74046552,74046571,TET3_+_74273633.23-ENST00000409262.3-2,TET3:ENST00000409262.3,TET3,43869
8925,chr2,74046443,74046462,TET3_-_74273590.23-ENST00000409262.3-1,TET3:ENST00000409262.3,TET3,43760
8926,chr2,74046540,74046559,TET3_-_74273590.23-ENST00000409262.3-2,TET3:ENST00000409262.3,TET3,43857
8927,chr2,74046497,74046516,TET3_-_74273644.23-ENST00000409262.3-1,TET3:ENST00000409262.3,TET3,43814
8928,chr2,74046884,74046903,TET3_-_74273644.23-ENST00000409262.3-2,TET3:ENST00000409262.3,TET3,44201
8929,chr10,58385449,58385468,TFAM_+_60145205.23-P1P2-1,TFAM:P1P2,TFAM,48
8930,chr10,58385443,58385462,TFAM_+_60145205.23-P1P2-2,TFAM:P1P2,TFAM,42
8931,chr10,58385643,58385662,TFAM_+_60145399.23-P1P2-1,TFAM:P1P2,TFAM,242
8932,chr10,58385428,58385447,TFAM_+_60145399.23-P1P2-2,TFAM:P1P2,TFAM,27
8933,chr10,58385861,58385880,TFAM_+_60145617.23-P1P2-1,TFAM:P1P2,TFAM,460
8934,chr10,58385914,58385933,TFAM_+_60145617.23-P1P2-2,TFAM:P1P2,TFAM,513
8935,chr6,10412334,10412353,TFAP2A_+_10412563.23-P1-1,TFAP2A:P1,TFAP2A,48
8936,chr6,10412140,10412159,TFAP2A_+_10412563.23-P1-2,TFAP2A:P1,TFAP2A,242
8937,chr6,10415016,10415035,TFAP2A_+_10415245.23-P2-1,TFAP2A:P2,TFAP2A,49
8938,chr6,10415048,10415067,TFAP2A_+_10415245.23-P2-2,TFAP2A:P2,TFAP2A,17
8939,chr6,10415033,10415052,TFAP2A_+_10415262.23-P2-1,TFAP2A:P2,TFAP2A,32
8940,chr6,10415071,10415090,TFAP2A_+_10415262.23-P2-2,TFAP2A:P2,TFAP2A,6
8941,chr6,10412152,10412171,TFAP2A_-_10412405.23-P1-1,TFAP2A:P1,TFAP2A,230
8942,chr6,10412160,10412179,TFAP2A_-_10412405.23-P1-2,TFAP2A:P1,TFAP2A,222
8943,chr6,10412243,10412262,TFAP2A_-_10412496.23-P1-1,TFAP2A:P1,TFAP2A,139
8944,chr6,10411951,10411970,TFAP2A_-_10412496.23-P1-2,TFAP2A:P1,TFAP2A,431
8945,chr6,10415058,10415077,TFAP2A_-_10415311.23-P2-1,TFAP2A:P2,TFAP2A,7
8946,chr6,10414597,10414616,TFAP2A_-_10415311.23-P2-2,TFAP2A:P2,TFAP2A,468
8947,chr6,50818904,50818923,TFAP2B_+_50786613.23-P1P2-1,TFAP2B:P1P2,TFAP2B,42
8948,chr6,50818912,50818931,TFAP2B_+_50786613.23-P1P2-2,TFAP2B:P1P2,TFAP2B,50
8949,chr6,50818987,50819006,TFAP2B_+_50786696.23-P1P2-1,TFAP2B:P1P2,TFAP2B,125
8950,chr6,50818872,50818891,TFAP2B_+_50786696.23-P1P2-2,TFAP2B:P1P2,TFAP2B,10
8951,chr6,50818952,50818971,TFAP2B_-_50786685.23-P1P2-1,TFAP2B:P1P2,TFAP2B,90
8952,chr6,50818907,50818926,TFAP2B_-_50786685.23-P1P2-2,TFAP2B:P1P2,TFAP2B,45
8953,chr20,56629730,56629749,TFAP2C_+_55204782.23-P1P2-1,TFAP2C:P1P2,TFAP2C,433
8954,chr20,56629390,56629409,TFAP2C_+_55204782.23-P1P2-2,TFAP2C:P1P2,TFAP2C,93
8955,chr20,56629342,56629361,TFAP2C_-_55204418.23-P1P2-1,TFAP2C:P1P2,TFAP2C,45
8956,chr20,56629327,56629346,TFAP2C_-_55204418.23-P1P2-2,TFAP2C:P1P2,TFAP2C,30
8957,chr20,56629345,56629364,TFAP2C_-_55204421.23-P1P2-1,TFAP2C:P1P2,TFAP2C,48
8958,chr20,56629301,56629320,TFAP2C_-_55204421.23-P1P2-2,TFAP2C:P1P2,TFAP2C,4
8959,chr6,50714185,50714204,TFAP2D_+_50681894.23-P1P2-1,TFAP2D:P1P2,TFAP2D,668
8960,chr6,50714069,50714088,TFAP2D_+_50681894.23-P1P2-2,TFAP2D:P1P2,TFAP2D,552
8961,chr6,50714188,50714207,TFAP2D_+_50681897.23-P1P2-1,TFAP2D:P1P2,TFAP2D,671
8962,chr6,50714074,50714093,TFAP2D_+_50681897.23-P1P2-2,TFAP2D:P1P2,TFAP2D,557
8963,chr6,50713889,50713908,TFAP2D_-_50681622.23-P1P2-1,TFAP2D:P1P2,TFAP2D,372
8964,chr6,50713810,50713829,TFAP2D_-_50681622.23-P1P2-2,TFAP2D:P1P2,TFAP2D,293
8965,chr1,35573376,35573395,TFAP2E_+_36038973.23-P1P2-1,TFAP2E:P1P2,TFAP2E,71
8966,chr1,35573300,35573319,TFAP2E_+_36038973.23-P1P2-2,TFAP2E:P1P2,TFAP2E,5
8967,chr1,35573389,35573408,TFAP2E_+_36038986.23-P1P2-1,TFAP2E:P1P2,TFAP2E,84
8968,chr1,35573434,35573453,TFAP2E_+_36038986.23-P1P2-2,TFAP2E:P1P2,TFAP2E,129
8969,chr1,35573297,35573316,TFAP2E_-_36038918.23-P1P2-1,TFAP2E:P1P2,TFAP2E,8
8970,chr1,35573603,35573622,TFAP2E_-_36038918.23-P1P2-2,TFAP2E:P1P2,TFAP2E,298
8971,chr16,4272475,4272494,TFAP4_-_4322496.23-P1P2-1,TFAP4:P1P2,TFAP4,539
8972,chr16,4272849,4272868,TFAP4_-_4322496.23-P1P2-2,TFAP4:P1P2,TFAP4,165
8973,chr16,4272821,4272840,TFAP4_-_4322842.23-P1P2-1,TFAP4:P1P2,TFAP4,193
8974,chr16,4272526,4272545,TFAP4_-_4322842.23-P1P2-2,TFAP4:P1P2,TFAP4,488
8975,chr16,4272832,4272851,TFAP4_-_4322853.23-P1P2-1,TFAP4:P1P2,TFAP4,182
8976,chr16,4272855,4272874,TFAP4_-_4322853.23-P1P2-2,TFAP4:P1P2,TFAP4,159
8977,chr2,121285117,121285136,TFCP2L1_-_122042713.23-P1P2-1,TFCP2L1:P1P2,TFCP2L1,76
8978,chr2,121284700,121284719,TFCP2L1_-_122042713.23-P1P2-2,TFCP2L1:P1P2,TFCP2L1,493
8979,chr2,121285141,121285160,TFCP2L1_-_122042737.23-P1P2-1,TFCP2L1:P1P2,TFCP2L1,52
8980,chr2,121284796,121284815,TFCP2L1_-_122042737.23-P1P2-2,TFCP2L1:P1P2,TFCP2L1,397
8981,chr2,121285161,121285180,TFCP2L1_-_122042757.23-P1P2-1,TFCP2L1:P1P2,TFCP2L1,32
8982,chr2,121284793,121284812,TFCP2L1_-_122042757.23-P1P2-2,TFCP2L1:P1P2,TFCP2L1,400
8983,chr12,51172915,51172934,TFCP2_+_51566694.23-P1P2-1,TFCP2:P1P2,TFCP2,211
8984,chr12,51173113,51173132,TFCP2_+_51566694.23-P1P2-2,TFCP2:P1P2,TFCP2,13
8985,chr12,51173055,51173074,TFCP2_+_51566834.23-P1P2-1,TFCP2:P1P2,TFCP2,71
8986,chr12,51172863,51172882,TFCP2_+_51566834.23-P1P2-2,TFCP2:P1P2,TFCP2,263
8987,chr12,51173085,51173104,TFCP2_-_51566888.23-P1P2-1,TFCP2:P1P2,TFCP2,41
8988,chr12,51173096,51173115,TFCP2_-_51566888.23-P1P2-2,TFCP2:P1P2,TFCP2,30
8989,chr13,113584683,113584702,TFDP1_+_114238994.23-P1P2-1,TFDP1:P1P2,TFDP1,4
8990,chr13,113584680,113584699,TFDP1_+_114238994.23-P1P2-2,TFDP1:P1P2,TFDP1,1
8991,chr13,113584729,113584748,TFDP1_+_114239040.23-P1P2-1,TFDP1:P1P2,TFDP1,15
8992,chr13,113584743,113584762,TFDP1_+_114239040.23-P1P2-2,TFDP1:P1P2,TFDP1,1
8993,chr13,113584704,113584723,TFDP1_-_114239039.23-P1P2-1,TFDP1:P1P2,TFDP1,25
8994,chr13,113585114,113585133,TFDP1_-_114239039.23-P1P2-2,TFDP1:P1P2,TFDP1,82
